location,lat,lon,x_center,y_center,sst_fahrenheit,date,year,month,day,day_of_year
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,68.6150131225586,2025-07-01,2025,7,1,182
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,53.527435302734375,2025-07-01,2025,7,1,182
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,53.63257598876953,2025-07-01,2025,7,1,182
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,53.92942428588867,2025-07-01,2025,7,1,182
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,68.81293487548828,2025-07-06,2025,7,6,187
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,57.444557189941406,2025-07-06,2025,7,6,187
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,56.347023010253906,2025-07-06,2025,7,6,187
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,56.525604248046875,2025-07-06,2025,7,6,187
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,71.88438415527344,2025-07-11,2025,7,11,192
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,55.55320358276367,2025-07-11,2025,7,11,192
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,55.54133987426758,2025-07-11,2025,7,11,192
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,56.47056198120117,2025-07-11,2025,7,11,192
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,70.92922973632812,2025-07-16,2025,7,16,197
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,55.69932174682617,2025-07-16,2025,7,16,197
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,55.1900520324707,2025-07-16,2025,7,16,197
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,53.14208984375,2025-07-16,2025,7,16,197
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,63.56877517700195,2025-07-21,2025,7,21,202
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,57.87318801879883,2025-07-21,2025,7,21,202
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,57.318817138671875,2025-07-21,2025,7,21,202
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,56.83783721923828,2025-07-21,2025,7,21,202
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,68.8066177368164,2025-07-26,2025,7,26,207
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,60.165924072265625,2025-07-26,2025,7,26,207
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,56.84244918823242,2025-07-26,2025,7,26,207
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,55.37346649169922,2025-07-26,2025,7,26,207
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,69.04112243652344,2025-07-31,2025,7,31,212
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,58.208656311035156,2025-07-31,2025,7,31,212
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,57.552879333496094,2025-07-31,2025,7,31,212
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,58.321266174316406,2025-07-31,2025,7,31,212
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,70.97746276855469,2025-08-01,2025,8,1,213
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,57.019439697265625,2025-08-01,2025,8,1,213
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,57.48569869995117,2025-08-01,2025,8,1,213
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,58.151580810546875,2025-08-01,2025,8,1,213
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,68.89274597167969,2025-08-06,2025,8,6,218
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,60.12434005737305,2025-08-06,2025,8,6,218
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,59.747947692871094,2025-08-06,2025,8,6,218
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,60.144004821777344,2025-08-06,2025,8,6,218
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,68.52531433105469,2025-08-11,2025,8,11,223
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,57.470977783203125,2025-08-11,2025,8,11,223
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,57.28388214111328,2025-08-11,2025,8,11,223
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,57.110572814941406,2025-08-11,2025,8,11,223
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,70.05878448486328,2025-08-16,2025,8,16,228
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,62.4759635925293,2025-08-16,2025,8,16,228
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,62.35149002075195,2025-08-16,2025,8,16,228
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,62.46470260620117,2025-08-16,2025,8,16,228
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,69.91123962402344,2025-08-21,2025,8,21,233
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,63.89731979370117,2025-08-21,2025,8,21,233
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,62.763694763183594,2025-08-21,2025,8,21,233
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,64.7008056640625,2025-08-21,2025,8,21,233
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,70.19490051269531,2025-08-26,2025,8,26,238
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,63.812232971191406,2025-08-26,2025,8,26,238
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,62.547813415527344,2025-08-26,2025,8,26,238
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,58.3200569152832,2025-08-26,2025,8,26,238
San Diego,32.7157,-117.1611,0.04887498656318336,0.09209514444004224,71.42603302001953,2025-08-31,2025,8,31,243
Monterey,36.6002,-121.8947,0.03569938075076474,0.10127520169631016,65.4146957397461,2025-08-31,2025,8,31,243
San Francisco,37.7749,-122.4194,0.033890532495963764,0.10385871328489547,63.913360595703125,2025-08-31,2025,8,31,243
Mendocino,39.3077,-123.7995,0.030029310045381643,0.10717771548571274,63.58937454223633,2025-08-31,2025,8,31,243
